id_transfermarkt,name_transfermarkt,best_match_name_fbref,best_match_score,liga_pais
19775,Dep. Riestra,Deportivo Riestra,79,Argentina
82,VfL Wolfsburgo,Wolfsburg,78,Alemania
82,VfL Wolfsburgo,Wolfsburg,78,Alemania
940,RC Celta,Celta Vigo,77,España
18099,Manta FC,Manta Fútbol Club,77,Ecuador
8781,Dep. Cuenca,Deportivo Cuenca,77,Ecuador
31284,Central Córdoba,Rosario Central,76,Argentina
44,Hertha Berlín,Hertha BSC,75,Alemania
60,SC Friburgo,Freiburg,74,Alemania
60,SC Friburgo,Freiburg,74,Alemania
9961,Deportivo Cali,AD Cali,73,Colombia
2402,Def. y Justicia,Defensa y Just,71,Argentina
10093,Indep. Medellín,Independiente,69,Colombia
679,Athletico-PR,Atlético Mineiro,67,Brasil
6195,Nápoles,Napoli,67,Italia
18231,Patriotas,Boyacá Patriot,64,Colombia
1030,Argentinos Jrs.,Arg Juniors,64,Argentina
24,Eintracht,Eint Frankfurt,61,Alemania
24,Eintracht,Eint Frankfurt,61,Alemania
4284,Kansas City,Orlando City,61,Estados Unidos
4673,Arsenal,Barracas Central,61,Argentina
4291,Portland,Orlando City,60,Estados Unidos
1247,Colorado,Orlando City,60,Estados Unidos
40,G. Burdeos,Brest,57,Francia
19806,Patronato,Sarmiento,56,Argentina
82686,St. Louis CITY,Orlando City,56,Estados Unidos
3911,Stade Brestois,Brest,53,Francia
417,Niza,Nice,50,Francia
3368,Levante UD,Leganés,50,España
16795,Granada CF,Girona,50,España
1070,Colón,Lanús,50,Argentina
17467,Inter Palmira,Pereira,50,Colombia
20590,Águilas Doradas,La Equidad,50,Colombia
40188,San Luis,UANL,50,México
9168,Houston,NE Revolution,50,Estados Unidos
9636,Seattle,Charlotte,50,Estados Unidos
1533,SD Eibar,Real Sociedad,48,España
3302,UD Almería,Mallorca,47,España
6711,Chivas,Pachuca,46,México
5358,SD Huesca,Real Sociedad,45,España
32041,Fortaleza CEIF,Nacional,45,Colombia
8816,Dallas,Nashville SC,44,Estados Unidos
51828,Los Ángeles FC,CF Montréal,43,Estados Unidos
12301,Aldosivi,Rosario Central,43,Argentina
3,Colonia,Arminia,43,Alemania
72309,Austin,NE Revolution,42,Estados Unidos
56089,Minnesota,CF Montréal,42,Estados Unidos
1061,LA Galaxy,Atlanta Utd,40,Estados Unidos
6643,Salt Lake,Atlanta Utd,40,Estados Unidos
10,Arm. Bielefeld,Arminia,40,Alemania
1531,Elche CF,Real Sociedad,38,España
6321,Vancouver,Columbus Crew,36,Estados Unidos
583,PSG,Paris S-G,33,Francia
2687,Cádiz CF,Real Madrid,33,España
218,San José,Orlando City,32,Estados Unidos
